,year,age,sex,race,cause,mort
397,2000,40,0,5,n,197.716723780503
398,2000,40,0,5,o,78.5500342612171
399,2000,40,0,5,t,236.128310433043
400,2000,40,0,5,v,0
401,2000,40,1,1,a,41.7835841413745
402,2000,40,1,1,c,41.6406528387244
403,2000,40,1,1,d,57.6489587355338
404,2000,40,1,1,h,53.2061774114937
405,2000,40,1,1,n,212.729422110875
406,2000,40,1,1,o,76.0990077192821
407,2000,40,1,1,t,270.378380846409
408,2000,40,1,1,v,0
409,2000,40,1,2,a,80.5162357061374
410,2000,40,1,2,c,68.0261825218059
411,2000,40,1,2,d,53.9005271347642
412,2000,40,1,2,h,97.0209488425756
413,2000,40,1,2,n,474.993748777943
414,2000,40,1,2,o,229.430381707424
415,2000,40,1,2,t,528.894275912707
416,2000,40,1,2,v,0
417,2000,40,1,3,a,55.197040421852
418,2000,40,1,3,c,29.9589199658078
419,2000,40,1,3,d,57.8297939946048
420,2000,40,1,3,h,31.9561812968617
421,2000,40,1,3,n,219.426392598053
422,2000,40,1,3,o,102.314250913532
423,2000,40,1,3,t,277.256186592658
424,2000,40,1,3,v,0
425,2000,40,1,4,a,32.497818433488
426,2000,40,1,4,c,36.9111024182827
427,2000,40,1,4,d,31.294195528544
428,2000,40,1,4,h,34.303252790904
429,2000,40,1,4,n,156.069770007739
430,2000,40,1,4,o,52.357596365064
431,2000,40,1,4,t,187.363965536283
432,2000,40,1,4,v,0
433,2000,40,1,5,a,47.2721503223224
434,2000,40,1,5,c,43.4275956607793
435,2000,40,1,5,d,56.06348288553
436,2000,40,1,5,h,55.5079623725088
437,2000,40,1,5,n,241.995316815112
438,2000,40,1,5,o,95.7876084595017
439,2000,40,1,5,t,298.058799700642
440,2000,40,1,5,v,0
441,2000,40,2,1,a,15.1441401528841
442,2000,40,2,1,c,50.5209487056919
443,2000,40,2,1,d,21.872170341094
444,2000,40,2,1,h,18.0466658116967
445,2000,40,2,1,n,131.378755552446
446,2000,40,2,1,o,47.6670008821733
447,2000,40,2,1,t,153.25092589354
448,2000,40,2,1,v,0
449,2000,40,2,2,a,25.6883810100672
450,2000,40,2,2,c,77.8087540594405
451,2000,40,2,2,d,21.6323208505829
452,2000,40,2,2,h,56.5144382221479
453,2000,40,2,2,n,310.829410221813
