"year","race","sex","age","edclass","non_inst","inst","inst_rate","tpop"
2004,1,1,"55-59",1,442.666666666667,11.2693333333333,0.0248258197925111,453.936
2004,1,1,"55-59",2,1755.33333333333,17.154,0.00967792529594006,1772.48733333333
2004,1,1,"55-59",3,1617,9.923,0.00609924378719829,1626.923
2004,1,1,"55-59",4,2345,6.06366666666667,0.00257911631770641,2351.06366666667
2004,1,1,"60-64",1,499,10.2686666666667,0.0201635547968787,509.268666666667
2004,1,1,"60-64",2,1551,15.206,0.00970881225075118,1566.206
2004,1,1,"60-64",3,999,7.80133333333333,0.00774863230216885,1006.80133333333
2004,1,1,"60-64",4,1436,3.86933333333333,0.00268728088289493,1439.86933333333
2004,1,1,"65-69",1,540,12.796,0.0231477796510829,552.796
2004,1,1,"65-69",2,1301,13.5276666666667,0.0102908953608939,1314.52766666667
2004,1,1,"65-69",3,759,5.83633333333333,0.00763082646439827,764.836333333333
2004,1,1,"65-69",4,1053,4.818,0.00455465874091762,1057.818
2004,1,2,"25-29",1,271.666666666667,5.17933333333333,0.0187083553070419,276.846
2004,1,2,"25-29",2,1521.33333333333,6.36566666666667,0.00416683303888179,1527.699
2004,1,2,"25-29",3,1770,5.59466666666667,0.00315086926746044,1775.59466666667
2004,1,2,"25-29",4,2137,1.16733333333333,0.000545950410491726,2138.16733333333
2004,1,2,"30-34",1,256.666666666667,5.92833333333333,0.0225759566379152,262.595
2004,1,2,"30-34",2,1632.33333333333,7.35066666666667,0.00448297761438586,1639.684
2004,1,2,"30-34",3,1938,4.41566666666667,0.00227328616755047,1942.41566666667
2004,1,2,"30-34",4,2461,1.61666666666667,0.000656483279979967,2462.61666666667
2004,1,2,"35-39",1,298.666666666667,5.499,0.0180789635472774,304.165666666667
2004,1,2,"35-39",2,2063.33333333333,8.99566666666667,0.00434084871015493,2072.329
2004,1,2,"35-39",3,2055,5.83266666666667,0.00283024757953824,2060.83266666667
2004,1,2,"35-39",4,2429,1.37666666666667,0.000566441690108392,2430.37666666667
2004,1,2,"40-44",1,405.666666666667,5.84066666666667,0.0141933477086678,411.507333333333
2004,1,2,"40-44",2,2555.33333333333,8.17666666666667,0.00318963712513962,2563.51
2004,1,2,"40-44",3,2531,5.56633333333333,0.00219443633710085,2536.56633333333
2004,1,2,"40-44",4,2538,1.069,0.000421020460649159,2539.069
2004,1,2,"45-49",1,378.666666666667,5.47133333333333,0.0142431452585616,384.138
2004,1,2,"45-49",2,2622.33333333333,8.37366666666667,0.00318304800445913,2630.707
2004,1,2,"45-49",3,2487,3.69433333333333,0.00148325440175116,2490.69433333333
2004,1,2,"45-49",4,2508,1.888,0.000752224800469184,2509.888
2004,1,2,"50-54",1,339,5.58533333333333,0.0162088539268454,344.585333333333
2004,1,2,"50-54",2,2350,6.908,0.00293095869673318,2356.908
2004,1,2,"50-54",3,2141,3.44666666666667,0.00160725222046402,2144.44666666667
2004,1,2,"50-54",4,2430,2.282,0.00093821357885311,2432.282
2004,1,2,"55-59",1,431.333333333333,6.237,0.0142537085466641,437.570333333333
2004,1,2,"55-59",2,2318.66666666667,10.1006666666667,0.00433734470682773,2328.76733333333
2004,1,2,"55-59",3,1799,4.71666666666667,0.0026149709396339,1803.71666666667
2004,1,2,"55-59",4,1799,2.397,0.00133063394687567,1801.397
2004,1,2,"60-64",1,462.666666666667,8.13066666666667,0.0172699930330956,470.797333333333
2004,1,2,"60-64",2,2097.33333333333,12.2966666666667,0.0058288262238718,2109.63
2004,1,2,"60-64",3,1312,4.93766666666667,0.00374935487961592,1316.93766666667
2004,1,2,"60-64",4,1181,3.00333333333333,0.00253659195779291,1184.00333333333
2004,1,2,"65-69",1,599.666666666667,13.6826666666667,0.0223081137013817,613.349333333333
2004,1,2,"65-69",2,1887.33333333333,14.4276666666667,0.00758647730533262,1901.761
2004,1,2,"65-69",3,933,5.54333333333333,0.00590631581564339,938.543333333333
2004,1,2,"65-69",4,661,3.85466666666667,0.00579775830707864,664.854666666667
2005,1,1,"25-29",1,396.666666666667,34.2191666666667,0.079415854547705,430.885833333333
2005,1,1,"25-29",2,1928.33333333333,54.7675,0.0276171030133364,1983.10083333333
2005,1,1,"25-29",3,1695,19.9511666666667,0.0116336645931706,1714.95116666667
2005,1,1,"25-29",4,1784,3.64516666666667,0.00203908848055323,1787.64516666667
2005,1,1,"30-34",1,335.666666666667,26.4146666666667,0.0729523016928057,362.081333333333
2005,1,1,"30-34",2,1898.33333333333,48.0758333333333,0.0246997569455891,1946.40916666667
2005,1,1,"30-34",3,1683,20.1416666666667,0.011826183963949,1703.14166666667
2005,1,1,"30-34",4,2082,3.41433333333333,0.00163724458912482,2085.41433333333
2005,1,1,"35-39",1,382,28.988,0.0705324729675806,410.988
2005,1,1,"35-39",2,2316,51.2213333333333,0.0216377457452225,2367.22133333333
2005,1,1,"35-39",3,1721,22.1428333333333,0.0127028221152656,1743.14283333333
2005,1,1,"35-39",4,2223,4.71133333333333,0.00211487604468203,2227.71133333333
2005,1,1,"40-44",1,507.333333333333,28.0663333333333,0.0524212753214265,535.399666666667
2005,1,1,"40-44",2,2749.66666666667,48.9335,0.0174849914549542,2798.60016666667
2005,1,1,"40-44",3,1998,21.8853333333333,0.0108349384849569,2019.88533333333
2005,1,1,"40-44",4,2479,4.98983333333333,0.0020087978084183,2483.98983333333
2005,1,1,"45-49",1,505.666666666667,19.713,0.0375214368783464,525.379666666667
2005,1,1,"45-49",2,2807.33333333333,38.8673333333333,0.0136558654449522,2846.20066666667
2005,1,1,"45-49",3,2111,17.4121666666667,0.00818082462568145,2128.41216666667
2005,1,1,"45-49",4,2521,4.44316666666667,0.00175936117878717,2525.44316666667
2005,1,1,"50-54",1,383.666666666667,13.8555,0.0348546600965229,397.522166666667
2005,1,1,"50-54",2,2249.33333333333,22.3636666666667,0.0098444760312078,2271.697
2005,1,1,"50-54",3,1987,13.2795,0.00663882222459411,2000.2795
2005,1,1,"50-54",4,2625,4.66666666666667,0.00177462289263532,2629.66666666667
2005,1,1,"55-59",1,468.333333333333,11.0806666666667,0.023112939268913,479.414
2005,1,1,"55-59",2,1796.66666666667,18.2355,0.0100476490330562,1814.90216666667
2005,1,1,"55-59",3,1652,10.656,0.00640902267215828,1662.656
2005,1,1,"55-59",4,2291,6.41683333333333,0.0027930644714669,2297.41683333333
2005,1,1,"60-64",1,497.333333333333,10.0163333333333,0.0197424655842223,507.349666666667
2005,1,1,"60-64",2,1570.66666666667,15.851,0.00999106428691938,1586.51766666667
2005,1,1,"60-64",3,1069,8.38766666666667,0.00778518905141851,1077.38766666667
2005,1,1,"60-64",4,1646,3.97066666666667,0.00240650742881894,1649.97066666667
2005,1,1,"65-69",1,555,12.707,0.0223830250463708,567.707
2005,1,1,"65-69",2,1373,13.8943333333333,0.0100183070904464,1386.89433333333
2005,1,1,"65-69",3,807,6.00616666666667,0.00738760284106086,813.006166666667
2005,1,1,"65-69",4,1054,4.675,0.0044158972300281,1058.675
2005,1,2,"25-29",1,311.666666666667,5.29716666666667,0.0167122116455978,316.963833333333
2005,1,2,"25-29",2,1485.33333333333,6.34333333333333,0.00425248545819805,1491.67666666667
2005,1,2,"25-29",3,1796,5.02283333333333,0.00278887820874379,1801.02283333333
2005,1,2,"25-29",4,2223,0.754666666666666,0.000339365973224864,2223.75466666667
2005,1,2,"30-34",1,253.666666666667,5.95416666666667,0.0229340865685535,259.620833333333
2005,1,2,"30-34",2,1542.33333333333,7.34183333333333,0.00473765953746651,1549.67516666667
2005,1,2,"30-34",3,1819,4.30733333333333,0.00236237372306223,1823.30733333333
2005,1,2,"30-34",4,2444,1.42583333333333,0.000583061368657333,2445.42583333333
2005,1,2,"35-39",1,275.333333333333,5.27,0.018780960074126,280.603333333333
2005,1,2,"35-39",2,1958.66666666667,9.06483333333333,0.004606743010077,1967.7315
2005,1,2,"35-39",3,2002,5.74633333333333,0.00286208134859002,2007.74633333333
2005,1,2,"35-39",4,2458,0.971333333333333,0.000395016127339969,2458.97133333333
2005,1,2,"40-44",1,327,5.77633333333333,0.0173580052267339,332.776333333333
2005,1,2,"40-44",2,2425,8.18133333333333,0.00336240181578466,2433.18133333333
2005,1,2,"40-44",3,2511,5.71316666666667,0.00227009050627475,2516.71316666667
2005,1,2,"40-44",4,2613,0.9605,0.000367450081973312,2613.9605
2005,1,2,"45-49",1,399.666666666667,5.50466666666667,0.013586022044995,405.171333333333
2005,1,2,"45-49",2,2602.33333333333,9.11283333333333,0.0034895734974944,2611.44616666667
2005,1,2,"45-49",3,2532,3.52716666666667,0.00139109795905033,2535.52716666667
