"year","race","sex","age","educ","tpop_2"
2005,1,2,"35-39",0,4
2005,1,2,"35-39",1,318
2005,1,2,"35-39",2,1912
2005,1,2,"35-39",3,2002
2005,1,2,"35-39",4,2458
2005,1,2,"40-44",0,11
2005,1,2,"40-44",1,367
2005,1,2,"40-44",2,2374
2005,1,2,"40-44",3,2511
2005,1,2,"40-44",4,2613
2005,1,2,"45-49",0,12
2005,1,2,"45-49",1,448
2005,1,2,"45-49",2,2542
2005,1,2,"45-49",3,2532
2005,1,2,"45-49",4,2510
2005,1,2,"50-54",0,8
2005,1,2,"50-54",1,431
2005,1,2,"50-54",2,2355
2005,1,2,"50-54",3,2283
2005,1,2,"50-54",4,2338
2005,1,2,"55-59",0,11
2005,1,2,"55-59",1,521
2005,1,2,"55-59",2,2248
2005,1,2,"55-59",3,1919
2005,1,2,"55-59",4,1986
2005,1,2,"60-64",0,9
2005,1,2,"60-64",1,524
2005,1,2,"60-64",2,2037
2005,1,2,"60-64",3,1354
2005,1,2,"60-64",4,1241
2005,1,2,"65-69",0,4
2005,1,2,"65-69",1,617
2005,1,2,"65-69",2,1821
2005,1,2,"65-69",3,954
2005,1,2,"65-69",4,713
2005,1,2,"70-74",0,18
2005,1,2,"70-74",1,667
2005,1,2,"70-74",2,1673
2005,1,2,"70-74",3,718
2005,1,2,"70-74",4,581
2006,1,1,"25-29",0,5
2006,1,1,"25-29",1,457
2006,1,1,"25-29",2,1810
2006,1,1,"25-29",3,1841
2006,1,1,"25-29",4,1881
2006,1,1,"30-34",0,4
2006,1,1,"30-34",1,371
2006,1,1,"30-34",2,1845
2006,1,1,"30-34",3,1672
2006,1,1,"30-34",4,1923
2006,1,1,"35-39",0,2
2006,1,1,"35-39",1,439
2006,1,1,"35-39",2,2050
2006,1,1,"35-39",3,1781
2006,1,1,"35-39",4,2382
2006,1,1,"40-44",0,16
2006,1,1,"40-44",1,544
2006,1,1,"40-44",2,2557
2006,1,1,"40-44",3,1983
2006,1,1,"40-44",4,2402
2006,1,1,"45-49",0,2
2006,1,1,"45-49",1,595
2006,1,1,"45-49",2,2703
2006,1,1,"45-49",3,2057
2006,1,1,"45-49",4,2618
2006,1,1,"50-54",0,1
2006,1,1,"50-54",1,539
2006,1,1,"50-54",2,2215
2006,1,1,"50-54",3,2034
2006,1,1,"50-54",4,2584
2006,1,1,"55-59",0,15
2006,1,1,"55-59",1,465
2006,1,1,"55-59",2,1934
2006,1,1,"55-59",3,1766
2006,1,1,"55-59",4,2513
2006,1,1,"60-64",0,4
2006,1,1,"60-64",1,502
2006,1,1,"60-64",2,1586
2006,1,1,"60-64",3,1139
2006,1,1,"60-64",4,1679
2006,1,1,"65-69",0,2
2006,1,1,"65-69",1,560
2006,1,1,"65-69",2,1346
2006,1,1,"65-69",3,776
2006,1,1,"65-69",4,1084
2006,1,1,"70-74",0,0
2006,1,1,"70-74",1,501
2006,1,1,"70-74",2,1112
2006,1,1,"70-74",3,558
2006,1,1,"70-74",4,869
2006,1,2,"25-29",0,3
2006,1,2,"25-29",1,320
2006,1,2,"25-29",2,1447
2006,1,2,"25-29",3,1985
2006,1,2,"25-29",4,2228
2006,1,2,"30-34",0,5
2006,1,2,"30-34",1,283
2006,1,2,"30-34",2,1402
2006,1,2,"30-34",3,1826
2006,1,2,"30-34",4,2316
2006,1,2,"35-39",0,13
2006,1,2,"35-39",1,309
2006,1,2,"35-39",2,1737
2006,1,2,"35-39",3,2038
2006,1,2,"35-39",4,2590
2006,1,2,"40-44",0,9
2006,1,2,"40-44",1,400
2006,1,2,"40-44",2,2237
2006,1,2,"40-44",3,2350
2006,1,2,"40-44",4,2627
2006,1,2,"45-49",0,9
2006,1,2,"45-49",1,471
2006,1,2,"45-49",2,2603
2006,1,2,"45-49",3,2592
2006,1,2,"45-49",4,2425
2006,1,2,"50-54",0,6
2006,1,2,"50-54",1,455
2006,1,2,"50-54",2,2289
2006,1,2,"50-54",3,2326
2006,1,2,"50-54",4,2484
2006,1,2,"55-59",0,2
2006,1,2,"55-59",1,448
2006,1,2,"55-59",2,2287
2006,1,2,"55-59",3,2163
2006,1,2,"55-59",4,2063
2006,1,2,"60-64",0,8
2006,1,2,"60-64",1,506
2006,1,2,"60-64",2,2009
2006,1,2,"60-64",3,1468
2006,1,2,"60-64",4,1302
2006,1,2,"65-69",0,6
2006,1,2,"65-69",1,584
2006,1,2,"65-69",2,1728
2006,1,2,"65-69",3,1095
2006,1,2,"65-69",4,800
2006,1,2,"70-74",0,14
2006,1,2,"70-74",1,612
2006,1,2,"70-74",2,1622
2006,1,2,"70-74",3,759
2006,1,2,"70-74",4,588
2007,1,1,"25-29",0,4
2007,1,1,"25-29",1,443
2007,1,1,"25-29",2,1939
2007,1,1,"25-29",3,1789
2007,1,1,"25-29",4,1951
2007,1,1,"30-34",0,2
2007,1,1,"30-34",1,391
2007,1,1,"30-34",2,1734
2007,1,1,"30-34",3,1585
2007,1,1,"30-34",4,1972
2007,1,1,"35-39",0,12
2007,1,1,"35-39",1,437
2007,1,1,"35-39",2,2014
2007,1,1,"35-39",3,1708
2007,1,1,"35-39",4,2457
2007,1,1,"40-44",0,7
2007,1,1,"40-44",1,519
2007,1,1,"40-44",2,2418
2007,1,1,"40-44",3,1834
2007,1,1,"40-44",4,2472
2007,1,1,"45-49",0,16
2007,1,1,"45-49",1,694
2007,1,1,"45-49",2,2734
2007,1,1,"45-49",3,1959
2007,1,1,"45-49",4,2550
2007,1,1,"50-54",0,5
2007,1,1,"50-54",1,502
2007,1,1,"50-54",2,2413
2007,1,1,"50-54",3,1971
2007,1,1,"50-54",4,2580
2007,1,1,"55-59",0,11
2007,1,1,"55-59",1,477
2007,1,1,"55-59",2,1902
2007,1,1,"55-59",3,1871
2007,1,1,"55-59",4,2546
2007,1,1,"60-64",0,12
2007,1,1,"60-64",1,531
2007,1,1,"60-64",2,1498
2007,1,1,"60-64",3,1303
2007,1,1,"60-64",4,1887
2007,1,1,"65-69",0,4
2007,1,1,"65-69",1,567
2007,1,1,"65-69",2,1374
2007,1,1,"65-69",3,872
2007,1,1,"65-69",4,1188
2007,1,1,"70-74",0,1
2007,1,1,"70-74",1,515
2007,1,1,"70-74",2,1090
2007,1,1,"70-74",3,540
2007,1,1,"70-74",4,794
2007,1,2,"25-29",0,3
2007,1,2,"25-29",1,352
2007,1,2,"25-29",2,1487
2007,1,2,"25-29",3,1899
2007,1,2,"25-29",4,2410
2007,1,2,"30-34",0,0
2007,1,2,"30-34",1,261
2007,1,2,"30-34",2,1290
2007,1,2,"30-34",3,1748
2007,1,2,"30-34",4,2384
2007,1,2,"35-39",0,7
2007,1,2,"35-39",1,290
2007,1,2,"35-39",2,1683
2007,1,2,"35-39",3,1856
2007,1,2,"35-39",4,2776
2007,1,2,"40-44",0,14
2007,1,2,"40-44",1,397
2007,1,2,"40-44",2,2077
2007,1,2,"40-44",3,2231
2007,1,2,"40-44",4,2640
